-- cid, salutation, first_name, last_name, credit_card_num, credit_card_expire, street, city, state, phone, email --
'Mr', 'Richard', 'Lloyd', '7836483301113682', to_date('09/23', 'MM/YY'), '315 Friendship Lane', 'Boston', 'MA', '0181388379', '400@pitt.edu', 
'Mr', 'Larry', 'Stevens', '9700591463940787', to_date('10/25', 'MM/YY'), '323 Forbes Avenue', 'York', 'PA', '1053456698', '421@pitt.edu', 
'Mr', 'Adam', 'Jones', '3660836309672302', to_date('12/17', 'MM/YY'), '278 Cherry Street', 'Columbus', 'OH', '3957578665', '422@pitt.edu', 
'Mrs', 'Penelope', 'Wright', '1225025483484832', to_date('06/20', 'MM/YY'), '266 McKee Street', 'Billings', 'MT', '8674132851', '423@pitt.edu', 
'Mr', 'Tom', 'Stevens', '4232412453483388', to_date('10/22', 'MM/YY'), '564 Forbes Avenue', 'Hershey', 'PA', '3457311563', '424@pitt.edu', 
'Mrs', 'Andrea', 'Wayne', '1025352940762056', to_date('01/21', 'MM/YY'), '345 Main Street', 'Tallahassee', 'FL', '7471777930', '425@pitt.edu', 
'Mr', 'Richard', 'Kent', '6025345825715213', to_date('03/20', 'MM/YY'), '218 Memory Lane', 'Boston', 'MA', '2166493427', '426@pitt.edu', 
'Mr', 'Wyatt', 'Roosevelt', '7391378329443804', to_date('07/24', 'MM/YY'), '082 Cathedral Road', 'Atlanta', 'GA', '7097224814', '427@pitt.edu', 
'Ms', 'Courtney', 'Reilly', '9900660589316350', to_date('11/18', 'MM/YY'), '062 Fifth Avenue', 'Hershey', 'PA', '4987958425', '428@pitt.edu', 
'Mr', 'Clark', 'Cannon', '0587225399730478', to_date('04/22', 'MM/YY'), '268 Kenyon Trail', 'Anchorage', 'AK', '3833974730', '429@pitt.edu', 
'Mr', 'Peter', 'Thompson', '8391131705953386', to_date('03/22', 'MM/YY'), '349 Coltart Ave', 'Honolulu', 'HI', '9163538929', '430@pitt.edu', 
'Mrs', 'Annie', 'Reilly', '2204406446922582', to_date('11/16', 'MM/YY'), '915 Fifth Avenue', 'Providence', 'RI', '3933326170', '431@pitt.edu', 
'Mr', 'Jesse', 'Lloyd', '1756329053226148', to_date('09/24', 'MM/YY'), '712 Friendship Lane', 'New Orleans', 'LA', '8106142594', '432@pitt.edu', 
'Ms', 'Rita', 'Brand', '2436100725414366', to_date('08/23', 'MM/YY'), '680 West Avenue', 'Chicago', 'IL', '6370278885', '433@pitt.edu', 
'Mr', 'Peter', 'Cannon', '4771845197470901', to_date('04/22', 'MM/YY'), '857 Kenyon Trail', 'Honolulu', 'HI', '3841186306', '434@pitt.edu', 
'Ms', 'Annie', 'Kent', '3177790198486140', to_date('03/20', 'MM/YY'), '691 Memory Lane', 'Providence', 'RI', '8493288751', '435@pitt.edu', 
'Mr', 'Scott', 'Wagner', '7706488553184014', to_date('02/24', 'MM/YY'), '937 Craig Street', 'Indianapolis', 'IA', '5117393569', '436@pitt.edu', 
'Mr', 'Clark', 'Brown', '0305360007862026', to_date('04/23', 'MM/YY'), '911 Oakland Avenue', 'Anchorage', 'AK', '8469489433', '437@pitt.edu', 
'Mr', 'Larry', 'Cannon', '6846686267632595', to_date('04/25', 'MM/YY'), '504 Kenyon Trail', 'York', 'PA', '4389438131', '438@pitt.edu', 
'Mr', 'Will', 'Wayne', '7687297685542507', to_date('01/22', 'MM/YY'), '389 Main Street', 'Harrisburg', 'PA', '6580276290', '439@pitt.edu', 
'Ms', 'Selina', 'Brown', '6921647345094268', to_date('04/22', 'MM/YY'), '594 Oakland Avenue', 'Albany', 'NY', '6112182757', '440@pitt.edu', 
'Mr', 'Tom', 'Allen', '1695384543093212', to_date('01/25', 'MM/YY'), '641 New School Lane', 'Hershey', 'PA', '3567340557', '441@pitt.edu', 
'Ms', 'Jessica', 'Reilly', '9625768788250137', to_date('11/16', 'MM/YY'), '502 Fifth Avenue', 'Atlanta', 'GA', '9329161030', '442@pitt.edu', 
'Mrs', 'Jan', 'Allen', '2095434089939742', to_date('01/17', 'MM/YY'), '215 New School Lane', 'Philadelphia', 'PA', '8855881443', '443@pitt.edu', 
'Mrs', 'Melissa', 'Stevens', '4115270001067680', to_date('10/22', 'MM/YY'), '516 Forbes Avenue', 'Los Angeles', 'CA', '5831222048', '444@pitt.edu', 
'Ms', 'Emma', 'Stevens', '1640090569740222', to_date('10/22', 'MM/YY'), '308 Forbes Avenue', 'Des Moines', 'IA', '7710807111', '445@pitt.edu', 
'Mr', 'Patrick', 'Brand', '6909296857855442', to_date('08/18', 'MM/YY'), '151 West Avenue', 'Los Angeles', 'CA', '2436657961', '446@pitt.edu', 
'Ms', 'Susan', 'Tuft', '2398415482412335', to_date('06/25', 'MM/YY'), '954 Swanson Street', 'Harrisburg', 'PA', '6325002997', '447@pitt.edu', 
'Mrs', 'Melissa', 'Brown', '1615392194561771', to_date('04/18', 'MM/YY'), '258 Oakland Avenue', 'Los Angeles', 'CA', '4721072946', '448@pitt.edu', 
'Ms', 'Annie', 'Roosevelt', '7639497456945437', to_date('07/25', 'MM/YY'), '549 Cathedral Road', 'Providence', 'RI', '7118071450', '449@pitt.edu', 
'Mr', 'Max', 'Brand', '9835897165532188', to_date('08/17', 'MM/YY'), '626 West Avenue', 'Philadelphia', 'PA', '2004758093', '450@pitt.edu', 
'Mr', 'Jared', 'Kent', '3540031196778715', to_date('03/24', 'MM/YY'), '247 Memory Lane', 'Tallahassee', 'FL', '6016756382', '451@pitt.edu', 
'Mrs', 'Andrea', 'Stevens', '0051128824958730', to_date('10/17', 'MM/YY'), '461 Forbes Avenue', 'Tallahassee', 'FL', '0846371269', '452@pitt.edu', 
'Mr', 'Jared', 'Jordan', '2206018388479348', to_date('02/17', 'MM/YY'), '833 Walnut Street', 'Tallahassee', 'FL', '4678275450', '453@pitt.edu', 
'Mrs', 'Annie', 'Misuraca', '2837004501269088', to_date('05/18', 'MM/YY'), '516 Yuletide Road', 'Providence', 'RI', '5417592092', '454@pitt.edu', 
'Mr', 'Patrick', 'Jones', '8532497133066674', to_date('12/25', 'MM/YY'), '677 Cherry Street', 'Los Angeles', 'CA', '0340494335', '455@pitt.edu', 
'Mrs', 'Annie', 'Cannon', '6090902419387297', to_date('04/23', 'MM/YY'), '428 Kenyon Trail', 'Providence', 'RI', '3929203854', '456@pitt.edu', 
'Mr', 'Max', 'Reilly', '3849395084647208', to_date('11/20', 'MM/YY'), '734 Fifth Avenue', 'Philadelphia', 'PA', '2163209604', '457@pitt.edu', 
'Mr', 'Adam', 'Stevens', '8658006554274417', to_date('10/21', 'MM/YY'), '642 Forbes Avenue', 'Columbus', 'OH', '2878498446', '458@pitt.edu', 
'Mrs', 'Selina', 'Mann', '4649869229819313', to_date('05/20', 'MM/YY'), '472 Orchard Circle', 'Albany', 'NY', '7063444390', '459@pitt.edu', 
'Mr', 'Richard', 'Freeman', '3873678856207696', to_date('07/20', 'MM/YY'), '048 Pine Road', 'Boston', 'MA', '3787255935', '460@pitt.edu', 
'Mr', 'Max', 'Misuraca', '7282008220296898', to_date('05/18', 'MM/YY'), '913 Yuletide Road', 'Philadelphia', 'PA', '9318869669', '461@pitt.edu', 
'Mr', 'Charles', 'Tuft', '6113854984095845', to_date('06/16', 'MM/YY'), '667 Swanson Street', 'Billings', 'MT', '0069360540', '462@pitt.edu', 
'Mr', 'Clark', 'Cannon', '8446148725843077', to_date('04/24', 'MM/YY'), '658 Kenyon Trail', 'Anchorage', 'AK', '4268956655', '463@pitt.edu', 
'Mrs', 'Jan', 'Reilly', '2148872297375513', to_date('11/25', 'MM/YY'), '823 Fifth Avenue', 'Philadelphia', 'PA', '5830319556', '464@pitt.edu', 
'Mr', 'Kent', 'Lloyd', '2186686978060684', to_date('09/25', 'MM/YY'), '458 Friendship Lane', 'Houston', 'TX', '9469226234', '465@pitt.edu', 
'Mrs', 'Anna', 'Reilly', '4762835124881995', to_date('11/17', 'MM/YY'), '707 Fifth Avenue', 'Boston', 'MA', '9987618199', '466@pitt.edu', 
'Mr', 'Larry', 'Dent', '7230866842765729', to_date('08/23', 'MM/YY'), '217 Farm Lane', 'York', 'PA', '8472945132', '467@pitt.edu', 
'Mrs', 'Beth', 'Brown', '4894952169495842', to_date('04/24', 'MM/YY'), '410 Oakland Avenue', 'Indianapolis', 'IA', '1651926021', '468@pitt.edu', 
'Mrs', 'Cassie', 'Brown', '5117852128951506', to_date('04/19', 'MM/YY'), '914 Oakland Avenue', 'Honolulu', 'HI', '5046079696', '469@pitt.edu', 
'Mrs', 'Jessica', 'Stevens', '5354101251946302', to_date('10/16', 'MM/YY'), '662 Forbes Avenue', 'Atlanta', 'GA', '2488868609', '470@pitt.edu', 
'Mrs', 'Jessica', 'Allen', '4650490533864346', to_date('01/20', 'MM/YY'), '628 New School Lane', 'Atlanta', 'GA', '1655004530', '471@pitt.edu', 
'Mr', 'Jesse', 'Brown', '4884982392779905', to_date('04/22', 'MM/YY'), '285 Oakland Avenue', 'New Orleans', 'LA', '7675431886', '472@pitt.edu', 
'Mrs', 'Jessica', 'Wagner', '5017599833605149', to_date('02/20', 'MM/YY'), '332 Craig Street', 'Atlanta', 'GA', '9067337775', '473@pitt.edu', 
'Ms', 'Melissa', 'Lloyd', '7311880713121964', to_date('09/24', 'MM/YY'), '883 Friendship Lane', 'Los Angeles', 'CA', '1458566738', '474@pitt.edu', 
'Ms', 'Jan', 'Thompson', '5859894579515601', to_date('03/16', 'MM/YY'), '092 Coltart Ave', 'Philadelphia', 'PA', '3138017823', '475@pitt.edu', 
'Ms', 'Rita', 'Dent', '8763683338889898', to_date('08/22', 'MM/YY'), '688 Farm Lane', 'Chicago', 'IL', '5082441783', '476@pitt.edu', 
'Mr', 'Matt', 'Misuraca', '1788991766381396', to_date('05/24', 'MM/YY'), '259 Yuletide Road', 'Des Moines', 'IA', '4116520241', '477@pitt.edu', 
'Mr', 'Adam', 'Lloyd', '5239110908027064', to_date('09/17', 'MM/YY'), '843 Friendship Lane', 'Columbus', 'OH', '3225860276', '478@pitt.edu', 
'Mr', 'Richard', 'Cannon', '8437850659306171', to_date('04/21', 'MM/YY'), '191 Kenyon Trail', 'Boston', 'MA', '4104789502', '479@pitt.edu', 
'Ms', 'Andrea', 'Thompson', '8552866760877943', to_date('03/18', 'MM/YY'), '582 Coltart Ave', 'Tallahassee', 'FL', '4930166116', '480@pitt.edu', 
'Mr', 'Will', 'Lloyd', '6538601692902074', to_date('09/17', 'MM/YY'), '946 Friendship Lane', 'Harrisburg', 'PA', '0617225036', '481@pitt.edu', 
'Mrs', 'Susan', 'Lloyd', '2562898378381568', to_date('09/18', 'MM/YY'), '295 Friendship Lane', 'Harrisburg', 'PA', '6108633166', '482@pitt.edu', 
'Ms', 'Kathy', 'Allen', '6617808090641120', to_date('01/17', 'MM/YY'), '528 New School Lane', 'York', 'PA', '6226016363', '483@pitt.edu', 
'Ms', 'Selena', 'Wayne', '5194028254669292', to_date('01/19', 'MM/YY'), '341 Main Street', 'Pittsburgh', 'PA', '4995751872', '484@pitt.edu', 
'Mr', 'Bruce', 'Lloyd', '4776216350889910', to_date('09/23', 'MM/YY'), '504 Friendship Lane', 'Pittsburgh', 'PA', '8115678790', '485@pitt.edu', 
'Ms', 'Beth', 'Reilly', '7503846383648961', to_date('11/17', 'MM/YY'), '325 Fifth Avenue', 'Indianapolis', 'IA', '3401012377', '486@pitt.edu', 
'Mr', 'Patrick', 'Wright', '1682026664026433', to_date('06/19', 'MM/YY'), '319 McKee Street', 'Los Angeles', 'CA', '6475282975', '487@pitt.edu', 
'Ms', 'Selina', 'Brand', '5219873681886407', to_date('08/25', 'MM/YY'), '331 West Avenue', 'Albany', 'NY', '7431187014', '488@pitt.edu', 
'Ms', 'Andrea', 'Kent', '8275480193625458', to_date('03/22', 'MM/YY'), '973 Memory Lane', 'Tallahassee', 'FL', '2885293275', '489@pitt.edu', 
'Ms', 'Susan', 'Kent', '1527010420203188', to_date('03/19', 'MM/YY'), '083 Memory Lane', 'Harrisburg', 'PA', '8014045862', '490@pitt.edu', 
'Mr', 'Wyatt', 'Wayne', '4052815034885074', to_date('01/18', 'MM/YY'), '216 Main Street', 'Atlanta', 'GA', '8092328083', '491@pitt.edu', 
'Ms', 'Cindy', 'Tuft', '3761787524446091', to_date('06/23', 'MM/YY'), '926 Swanson Street', 'Houston', 'TX', '4841821661', '492@pitt.edu', 
'Mrs', 'Kathy', 'Allen', '8841100857862225', to_date('01/21', 'MM/YY'), '997 New School Lane', 'York', 'PA', '1205497963', '493@pitt.edu', 
'Ms', 'Lynn', 'Reilly', '1802364345324929', to_date('11/21', 'MM/YY'), '445 Fifth Avenue', 'New Orleans', 'LA', '0833106894', '494@pitt.edu', 
'Ms', 'Jan', 'Misuraca', '2626467101580997', to_date('05/21', 'MM/YY'), '578 Yuletide Road', 'Philadelphia', 'PA', '0647688686', '495@pitt.edu', 
'Ms', 'Emma', 'Wagner', '0714370550606832', to_date('02/16', 'MM/YY'), '615 Craig Street', 'Des Moines', 'IA', '0735029277', '496@pitt.edu', 
'Mrs', 'Penelope', 'Thompson', '9462273222164164', to_date('03/16', 'MM/YY'), '480 Coltart Ave', 'Billings', 'MT', '3753192782', '497@pitt.edu', 
'Mrs', 'Martha', 'Jordan', '8195346378126422', to_date('02/20', 'MM/YY'), '011 Walnut Street', 'Columbus', 'OH', '9789694168', '498@pitt.edu', 
'Mr', 'Patrick', 'Stevens', '0405976721875519', to_date('10/17', 'MM/YY'), '326 Forbes Avenue', 'Los Angeles', 'CA', '4823117565', '499@pitt.edu', 
'Ms', 'Susan', 'Jones', '5970577395922119', to_date('12/23', 'MM/YY'), '616 Cherry Street', 'Harrisburg', 'PA', '9848186843', '500@pitt.edu', 
'Mrs', 'Kathy', 'Misuraca', '7265864757008811', to_date('05/22', 'MM/YY'), '914 Yuletide Road', 'York', 'PA', '0177508905', '501@pitt.edu', 
'Mr', 'Michael', 'Cannon', '1203820268540675', to_date('04/20', 'MM/YY'), '817 Kenyon Trail', 'Providence', 'RI', '4806397377', '502@pitt.edu', 
'Ms', 'Susan', 'Brown', '4240423623862140', to_date('04/22', 'MM/YY'), '685 Oakland Avenue', 'Harrisburg', 'PA', '4962181848', '503@pitt.edu', 
'Ms', 'Martha', 'Dent', '9181068838089344', to_date('08/20', 'MM/YY'), '604 Farm Lane', 'Columbus', 'OH', '3074100575', '504@pitt.edu', 
'Mr', 'Peter', 'Wright', '5919132580533017', to_date('06/19', 'MM/YY'), '123 McKee Street', 'Honolulu', 'HI', '3056323855', '505@pitt.edu', 
'Mrs', 'Beth', 'Kent', '9290796049651231', to_date('03/16', 'MM/YY'), '219 Memory Lane', 'Indianapolis', 'IA', '7227619672', '506@pitt.edu', 
'Mr', 'Patrick', 'Lloyd', '5724851491145137', to_date('09/24', 'MM/YY'), '461 Friendship Lane', 'Los Angeles', 'CA', '9199084622', '507@pitt.edu', 
'Mr', 'Jesse', 'Tuft', '5644009094505876', to_date('06/17', 'MM/YY'), '011 Swanson Street', 'New Orleans', 'LA', '0639408226', '508@pitt.edu', 
'Mr', 'Adam', 'Wayne', '8142951415839485', to_date('01/17', 'MM/YY'), '583 Main Street', 'Columbus', 'OH', '3868162446', '509@pitt.edu', 
'Mr', 'Clark', 'Brand', '2578453084832791', to_date('08/24', 'MM/YY'), '414 West Avenue', 'Anchorage', 'AK', '3286897182', '510@pitt.edu', 
'Ms', 'Cassie', 'Reilly', '2791121447883684', to_date('11/18', 'MM/YY'), '427 Fifth Avenue', 'Honolulu', 'HI', '6384922699', '511@pitt.edu', 
'Mrs', 'Lynn', 'Wagner', '2647994244067891', to_date('02/24', 'MM/YY'), '103 Craig Street', 'New Orleans', 'LA', '3730041659', '512@pitt.edu', 
'Mrs', 'Breanna', 'Mann', '2582673248440433', to_date('05/25', 'MM/YY'), '272 Orchard Circle', 'Anchorage', 'AK', '4964769166', '513@pitt.edu', 
'Mrs', 'Cindy', 'Allen', '9648023903336003', to_date('01/16', 'MM/YY'), '983 New School Lane', 'Houston', 'TX', '3514809065', '514@pitt.edu', 
'Ms', 'Breanna', 'Wright', '8962847034255724', to_date('06/23', 'MM/YY'), '352 McKee Street', 'Anchorage', 'AK', '5616809292', '515@pitt.edu', 
'Mrs', 'Susan', 'Freeman', '7672454478454437', to_date('07/17', 'MM/YY'), '196 Pine Road', 'Harrisburg', 'PA', '5598113444', '516@pitt.edu', 
'Ms', 'Rita', 'Freeman', '9199016242077522', to_date('07/23', 'MM/YY'), '218 Pine Road', 'Chicago', 'IL', '7613005662', '517@pitt.edu', 
'Mrs', 'Melissa', 'Brown', '6992560506309508', to_date('04/23', 'MM/YY'), '505 Oakland Avenue', 'Los Angeles', 'CA', '6776225093', '518@pitt.edu', 
'Mr', 'Wyatt', 'Mann', '0001134068382376', to_date('05/17', 'MM/YY'), '304 Orchard Circle', 'Atlanta', 'GA', '3646759630', '519@pitt.edu', 
'Mr', 'Max', 'Roosevelt', '1489274531505996', to_date('07/21', 'MM/YY'), '158 Cathedral Road', 'Philadelphia', 'PA', '5627908434', '520@pitt.edu', 
'Mr', 'Charles', 'Reilly', '6658313658513343', to_date('11/18', 'MM/YY'), '793 Fifth Avenue', 'Billings', 'MT', '9924639184', '521@pitt.edu', 
'Mr', 'Tom', 'Allen', '5403462400509626', to_date('01/18', 'MM/YY'), '856 New School Lane', 'Hershey', 'PA', '3082159832', '522@pitt.edu', 
'Mr', 'Matt', 'Allen', '8671107183185141', to_date('01/22', 'MM/YY'), '112 New School Lane', 'Des Moines', 'IA', '7397740621', '523@pitt.edu', 
'Mr', 'Michael', 'Wagner', '4178046001354996', to_date('02/19', 'MM/YY'), '588 Craig Street', 'Providence', 'RI', '0241993691', '524@pitt.edu', 
'Mr', 'Victor', 'Thompson', '1693736080239174', to_date('03/18', 'MM/YY'), '102 Coltart Ave', 'Albany', 'NY', '3667395485', '525@pitt.edu', 
'Ms', 'Cassie', 'Jones', '0706365422476348', to_date('12/24', 'MM/YY'), '944 Cherry Street', 'Honolulu', 'HI', '2593144356', '526@pitt.edu', 
'Mr', 'Scott', 'Thompson', '2669208459014777', to_date('03/18', 'MM/YY'), '055 Coltart Ave', 'Indianapolis', 'IA', '6167729544', '527@pitt.edu', 
'Ms', 'Selina', 'Freeman', '6059607370339394', to_date('07/16', 'MM/YY'), '715 Pine Road', 'Albany', 'NY', '1748149715', '528@pitt.edu', 
'Mr', 'Peter', 'Brown', '5304982007260575', to_date('04/19', 'MM/YY'), '724 Oakland Avenue', 'Honolulu', 'HI', '6087525744', '529@pitt.edu', 
'Mr', 'Wyatt', 'Stevens', '3919810573045258', to_date('10/25', 'MM/YY'), '218 Forbes Avenue', 'Atlanta', 'GA', '6692613303', '530@pitt.edu', 
'Mrs', 'Jan', 'Wayne', '2906779154027756', to_date('01/25', 'MM/YY'), '515 Main Street', 'Philadelphia', 'PA', '4840518261', '531@pitt.edu', 
'Mrs', 'Jan', 'Brand', '9636303562011443', to_date('08/17', 'MM/YY'), '956 West Avenue', 'Philadelphia', 'PA', '1228611318', '532@pitt.edu', 
'Mr', 'Bruce', 'Brand', '3232334184194669', to_date('08/25', 'MM/YY'), '052 West Avenue', 'Pittsburgh', 'PA', '9193173246', '533@pitt.edu', 
'Mrs', 'Martha', 'Tuft', '2250287946996038', to_date('06/22', 'MM/YY'), '813 Swanson Street', 'Columbus', 'OH', '2113322403', '534@pitt.edu', 
'Mr', 'Clark', 'Freeman', '2677277205387289', to_date('07/17', 'MM/YY'), '926 Pine Road', 'Anchorage', 'AK', '8868408341', '535@pitt.edu', 
'Mr', 'Clark', 'Jones', '5003267007973775', to_date('12/19', 'MM/YY'), '080 Cherry Street', 'Anchorage', 'AK', '2314751929', '536@pitt.edu', 
'Ms', 'Jessica', 'Lloyd', '4690582209691595', to_date('09/19', 'MM/YY'), '762 Friendship Lane', 'Atlanta', 'GA', '0173132087', '537@pitt.edu', 
'Mrs', 'Martha', 'Jones', '7516199781218869', to_date('12/22', 'MM/YY'), '795 Cherry Street', 'Columbus', 'OH', '8869985834', '538@pitt.edu', 
'Mr', 'Bruce', 'Jones', '9055354123658763', to_date('12/18', 'MM/YY'), '393 Cherry Street', 'Pittsburgh', 'PA', '6193961986', '539@pitt.edu', 
'Ms', 'Courtney', 'Lloyd', '3406019968409555', to_date('09/19', 'MM/YY'), '509 Friendship Lane', 'Hershey', 'PA', '7183012932', '540@pitt.edu', 
'Mr', 'Jared', 'Jones', '9011872359011446', to_date('12/20', 'MM/YY'), '742 Cherry Street', 'Tallahassee', 'FL', '3276538975', '541@pitt.edu', 
'Mr', 'Grant', 'Tuft', '5764749457687006', to_date('06/25', 'MM/YY'), '347 Swanson Street', 'Chicago', 'IL', '6735996710', '542@pitt.edu', 
'Mr', 'Jared', 'Mann', '0529091489417295', to_date('05/19', 'MM/YY'), '657 Orchard Circle', 'Tallahassee', 'FL', '1780470723', '543@pitt.edu', 
'Ms', 'Selina', 'Brand', '0944892876867711', to_date('08/19', 'MM/YY'), '377 West Avenue', 'Albany', 'NY', '6915317191', '544@pitt.edu', 
'Mrs', 'Melissa', 'Stevens', '3107946565103768', to_date('10/21', 'MM/YY'), '735 Forbes Avenue', 'Los Angeles', 'CA', '6748760083', '545@pitt.edu', 
'Ms', 'Martha', 'Dent', '7163971307030489', to_date('08/21', 'MM/YY'), '582 Farm Lane', 'Columbus', 'OH', '1380942025', '546@pitt.edu', 
'Mr', 'Scott', 'Kent', '2108145992861860', to_date('03/23', 'MM/YY'), '304 Memory Lane', 'Indianapolis', 'IA', '1949681490', '547@pitt.edu', 
'Mrs', 'Martha', 'Misuraca', '4759537191225451', to_date('05/19', 'MM/YY'), '456 Yuletide Road', 'Columbus', 'OH', '5848809467', '548@pitt.edu', 
'Mr', 'Jared', 'Misuraca', '0224852531162027', to_date('05/16', 'MM/YY'), '406 Yuletide Road', 'Tallahassee', 'FL', '8661935754', '549@pitt.edu', 
'Mr', 'Michael', 'Tuft', '5971043445820736', to_date('06/21', 'MM/YY'), '896 Swanson Street', 'Providence', 'RI', '3071159817', '550@pitt.edu', 
'Ms', 'Kathy', 'Wright', '0922743277586051', to_date('06/18', 'MM/YY'), '155 McKee Street', 'York', 'PA', '9953645462', '551@pitt.edu', 
'Ms', 'Selena', 'Jones', '8431410616552963', to_date('12/18', 'MM/YY'), '975 Cherry Street', 'Pittsburgh', 'PA', '5641703061', '552@pitt.edu', 
'Mr', 'Michael', 'Brown', '7828522803903887', to_date('04/18', 'MM/YY'), '820 Oakland Avenue', 'Providence', 'RI', '4502537981', '553@pitt.edu', 
'Mr', 'Jesse', 'Brown', '5293966979004742', to_date('04/19', 'MM/YY'), '098 Oakland Avenue', 'New Orleans', 'LA', '4641683518', '554@pitt.edu', 
'Mrs', 'Susan', 'Wagner', '1623223445814121', to_date('02/16', 'MM/YY'), '462 Craig Street', 'Harrisburg', 'PA', '3764222109', '555@pitt.edu', 
'Mrs', 'Lynn', 'Wayne', '1510325794196063', to_date('01/16', 'MM/YY'), '691 Main Street', 'New Orleans', 'LA', '5633656091', '556@pitt.edu', 
'Ms', 'Penelope', 'Thompson', '2870161399084224', to_date('03/25', 'MM/YY'), '777 Coltart Ave', 'Billings', 'MT', '2273546626', '557@pitt.edu', 
'Ms', 'Breanna', 'Wagner', '6485590334264404', to_date('02/18', 'MM/YY'), '802 Craig Street', 'Anchorage', 'AK', '4457317944', '558@pitt.edu', 
'Mrs', 'Lynn', 'Brand', '0746365851796578', to_date('08/16', 'MM/YY'), '019 West Avenue', 'New Orleans', 'LA', '5044760291', '559@pitt.edu', 
'Mr', 'Scott', 'Allen', '2299906274939940', to_date('01/23', 'MM/YY'), '457 New School Lane', 'Indianapolis', 'IA', '5684215737', '560@pitt.edu', 
'Mr', 'Adam', 'Misuraca', '6434538239138132', to_date('05/19', 'MM/YY'), '386 Yuletide Road', 'Columbus', 'OH', '2153454394', '561@pitt.edu', 
'Ms', 'Kathy', 'Tuft', '4540432151993859', to_date('06/25', 'MM/YY'), '217 Swanson Street', 'York', 'PA', '5221360644', '562@pitt.edu', 
